etternavn;personer_2020
Aa;242
Aabel;242
Aaberg;364
Aaby;267
Aabø;235
Aadland;522
Aae;209
Aaen;200
Aagaard;337
Aagesen;274
Aakervik;200
Aakre;881
Aakvik;337
Aaland;325
Aalberg;505
Aalvik;231
Aam;249
Aamodt;1990
Aamot;354
Aandahl;200
Aandal;237
Aanensen;490
Aanerud;257
Aanes;415
Aanestad;418
Aanonsen;601
Aanstad;237
Aardal;499
Aarflot;238
Aarhus;454
Aarland;203
Aarnes;629
Aarrestad;295
Aarsand;218
Aarseth;926
Aarskog;360
Aarsland;346
Aarstad;607
Aarum;286
Aarvik;549
Aarø;387
Aas;5771
Aasberg;260
Aasbø;492
Aase;2503
Aasebø;399
Aasen;4426
Aaserud;655
Aaseth;219
Aasgaard;479
Aasheim;1594
Aasland;1042
Aaslund;301
Aass;513
Abbas;685
Abdalla;238
Abdallah;238
Abdi;2094
Abdirahman;270
Abdulla;209
Abdullah;745
Abdullahi;852
Abdulle;363
Abelsen;670
Abraha;301
Abraham;406
Abrahamsen;3854
Abukar;334
Adam;603
Adan;473
Aden;395
Adolfsen;883
Afzal;357
Aga;750
Aglen;269
Ahmad;2096
Ahmadi;831
Ahmadzai;241
Ahmed;5820
Akbari;252
Aker;352
Akhtar;930
Akram;357
Aksdal;312
Akselsen;938
Aksnes;973
Alahmad;299
Alali;279
Albertsen;730
Albrigtsen;728
Aleksandersen;445
Alexandersen;541
Alfheim;335
Alfredsen;428
Alfsen;397
Algrøy;306
Ali;7057
Allum;211
Alm;546
Almaas;246
Alme;650
Almli;334
Almås;1021
Alnes;620
Alnæs;233
Alsaker;550
Alsos;201
Alstad;1040
Alsvik;263
Alver;235
Alvestad;894
Alvheim;317
Alvær;216
Amble;234
Amdahl;220
Amdal;791
Amdam;214
Amin;528
Amini;211
Amiri;368
Amlie;205
Amundsen;7147
Anda;410
Andersen;35825
Anderson;693
Anderssen;819
Andersson;2445
Andorsen;207
Andreassen;11716
Andresen;6189
Andvik;238
Anfinsen;321
Angell;759
Angelsen;453
Angeltveit;347
